Index,Ir,Pd,Pt,Ru
177,4.0,1.23,83.04,11.73
178,3.76,1.56,82.77,11.92
179,22.52,7.61,65.08,4.79
180,20.69,7.25,66.14,5.92
181,19.53,6.71,67.5,6.25
182,18.54,5.73,69.12,6.61
183,16.23,5.36,71.43,6.99
184,16.2,4.49,72.58,6.73
185,14.46,4.68,73.61,7.26
186,13.8,3.76,74.25,8.19
187,12.21,4.06,75.6,8.13
188,11.68,3.1,76.99,8.23
189,10.63,3.3,77.22,8.85
190,9.63,2.85,77.8,9.72
191,8.29,3.08,78.92,9.71
192,8.23,2.43,79.71,9.63
193,7.29,1.81,80.62,10.28
194,5.5,1.84,82.38,10.29
195,4.98,1.5,83.68,9.84
196,5.34,1.13,83.49,10.05
197,4.13,1.65,83.39,10.83
198,4.22,1.2,84.47,10.1
199,2.94,0.45,85.73,10.88
200,20.71,7.7,67.21,4.39
201,21.25,6.29,67.25,5.21
202,17.59,6.21,71.17,5.04
203,17.2,6.33,71.05,5.42
204,14.38,5.92,73.35,6.35
205,15.16,5.01,74.6,5.23
206,11.92,4.64,76.63,6.81
207,12.37,3.89,77.38,6.36
208,11.37,3.64,77.48,7.5
209,10.57,3.51,78.37,7.55
210,10.27,3.1,79.45,7.17
211,8.47,2.78,80.48,8.27
212,7.51,2.7,81.06,8.73
213,7.59,2.23,81.39,8.79
214,6.08,2.09,82.72,9.11
215,5.89,1.35,83.29,9.47
216,5.16,1.06,84.12,9.66
217,4.89,1.46,84.21,9.44
218,3.25,1.33,85.95,9.48
219,3.05,0.7,86.46,9.79
220,3.53,0.57,85.83,10.07
221,18.88,8.2,68.67,4.25
222,17.74,7.47,70.56,4.23
223,15.58,7.07,71.77,5.58
224,14.67,6.38,73.79,5.16
225,13.29,5.41,75.61,5.69
226,12.88,4.76,76.82,5.55
227,11.66,5.03,76.98,6.32
228,10.23,4.62,79.06,6.1
229,9.6,3.81,80.37,6.22
230,9.0,4.08,79.44,7.48
231,8.19,3.39,81.08,7.34
232,7.62,3.19,81.62,7.57
233,7.63,2.48,82.09,7.8
234,6.29,1.88,83.94,7.89
235,6.11,2.12,83.9,7.88
236,5.06,1.8,84.76,8.39
237,4.64,1.3,86.05,8.02
238,4.06,1.68,85.93,8.32
239,4.02,1.53,85.75,8.7
240,4.34,1.12,86.16,8.38
241,3.08,1.01,87.3,8.61
242,15.08,7.06,72.97,4.89
243,14.45,6.5,74.76,4.28
244,13.24,6.45,75.36,4.95
245,12.17,5.82,77.17,4.84
246,11.18,5.25,78.82,4.75
247,9.87,4.38,80.27,5.49
248,9.88,4.07,79.79,6.26
249,8.43,3.65,81.72,6.2
250,7.8,3.85,81.96,6.39
251,7.14,3.1,83.72,6.05
252,6.8,3.06,83.16,6.98
253,6.11,2.94,84.56,6.38
254,5.54,1.63,85.72,7.11
255,5.05,2.36,85.57,7.01
256,4.55,1.84,85.79,7.82
257,3.77,1.19,87.62,7.41
258,3.32,0.99,87.73,7.96
259,3.51,1.02,87.99,7.48
260,3.82,1.47,86.97,7.75
261,13.87,7.42,74.76,3.96
262,13.22,6.33,75.77,4.68
263,11.94,6.18,77.68,4.19
264,11.25,5.97,78.54,4.24
265,9.88,5.3,79.65,5.16
266,8.91,4.44,81.57,5.08
267,8.62,4.13,81.76,5.5
268,8.29,4.21,82.47,5.02
269,7.49,3.96,82.04,6.5
270,6.74,3.38,84.19,5.69
271,4.96,3.53,85.59,5.92
272,5.59,2.7,85.99,5.72
273,4.41,2.37,86.85,6.38
274,4.87,1.42,87.53,6.18
275,4.49,1.45,87.33,6.73
276,3.25,1.53,88.49,6.73
277,2.6,1.28,89.02,7.1
278,2.37,1.07,89.25,7.3
279,1.82,1.33,90.35,6.49
280,11.0,6.95,78.39,3.67
281,10.06,7.2,78.58,4.16
282,9.61,6.18,80.21,4.0
283,9.45,5.44,80.55,4.56
284,8.34,5.04,82.48,4.15
285,7.71,4.55,82.58,5.16
286,7.41,4.67,82.91,5.01
287,7.36,3.26,84.53,4.85
288,5.44,2.95,86.93,4.68
289,4.57,3.2,86.18,6.05
290,5.12,2.37,86.89,5.62
291,4.46,2.5,87.49,5.55
292,3.79,1.92,88.66,5.63
293,3.85,1.67,88.26,6.21
294,3.39,2.11,88.37,6.13
295,2.73,1.62,89.51,6.14
296,2.94,0.86,90.96,5.25
297,8.77,7.3,80.3,3.63
298,8.18,5.5,82.24,4.07
299,7.76,5.02,82.7,4.52
300,7.18,5.36,83.36,4.1
301,6.62,4.45,84.27,4.66
302,6.44,4.48,84.75,4.32
303,4.93,3.53,86.67,4.87
304,5.3,3.6,86.2,4.9
305,5.4,2.86,87.73,4.02
306,4.19,3.09,87.66,5.05
307,4.6,2.72,87.91,4.78
308,2.84,2.04,90.6,4.52
309,3.02,1.3,90.67,5.0
310,2.42,0.72,91.3,5.55
311,2.63,1.22,90.82,5.33
312,7.75,6.43,82.0,3.81
313,7.53,5.34,83.08,4.04
314,6.83,4.69,84.84,3.65
315,5.37,5.17,85.46,4.0
316,4.84,4.32,86.67,4.16
317,4.22,3.75,87.81,4.22
318,4.24,2.85,88.77,4.15
319,3.74,3.36,88.67,4.22
320,3.67,2.5,89.82,4.01
321,2.74,2.77,89.82,4.68
322,3.22,2.02,90.09,4.67
323,2.05,1.12,92.21,4.61
324,3.44,1.16,91.02,4.38
325,4.62,5.92,85.99,3.48
326,5.09,4.92,87.06,2.93
327,5.23,4.13,86.81,3.83
328,4.74,3.49,88.19,3.58
329,4.21,3.86,88.36,3.57
330,3.27,3.57,89.11,4.05
331,3.33,2.86,89.93,3.88
332,3.99,2.08,89.37,4.56
333,2.91,2.18,91.12,3.79
334,2.71,1.57,91.42,4.3
335,2.86,2.15,91.08,3.91
336,4.27,4.3,88.5,2.92
337,3.82,3.64,89.37,3.17
338,3.6,4.48,88.2,3.71
339,3.32,3.02,89.69,3.97
340,3.26,3.42,90.59,2.74
341,3.2,2.31,91.07,3.41
342,2.85,1.79,91.89,3.47
