Index,Ni,Pd,Pt,Ru
233,40.2,17.38,26.62,15.8
234,37.37,16.21,28.98,17.45
235,35.78,14.87,30.77,18.57
236,33.09,13.74,32.97,20.19
237,30.99,12.97,34.77,21.28
238,29.12,11.45,36.87,22.56
239,26.15,10.2,38.92,24.72
240,24.45,9.27,40.66,25.63
241,22.74,8.95,42.41,25.9
242,56.46,27.32,11.76,4.46
243,56.32,25.97,12.99,4.72
244,54.65,24.99,14.31,6.05
245,53.3,24.41,15.68,6.61
246,52.71,23.18,17.07,7.04
247,50.27,23.21,18.55,7.97
248,48.49,22.36,20.04,9.11
249,47.06,20.95,21.55,10.43
250,44.68,19.87,23.67,11.78
251,42.2,20.1,25.02,12.68
252,40.13,19.37,26.64,13.86
253,38.54,17.99,29.07,14.4
254,35.39,17.06,31.58,15.97
255,32.92,15.89,33.51,17.68
256,31.12,13.79,35.27,19.82
257,29.09,13.49,37.62,19.8
258,26.58,12.25,40.24,20.93
259,23.91,11.66,41.07,23.36
260,23.52,10.81,43.19,22.49
261,53.29,29.34,12.59,4.78
262,52.36,28.49,14.11,5.05
263,50.68,27.88,15.51,5.93
264,49.84,26.57,17.06,6.52
265,48.81,25.28,18.51,7.41
266,47.09,24.89,20.32,7.7
267,44.95,24.25,21.46,9.34
268,43.11,23.19,23.52,10.18
269,41.58,22.53,25.56,10.33
270,39.39,20.39,27.53,12.69
271,37.53,20.03,29.29,13.15
272,34.6,19.92,31.1,14.38
273,32.53,18.45,33.53,15.49
274,30.13,16.54,36.36,16.97
275,28.4,15.6,38.16,17.83
276,26.78,13.51,40.75,18.97
277,25.01,12.21,42.02,20.76
278,23.67,11.03,44.95,20.35
279,21.16,10.84,46.23,21.77
280,48.77,31.23,15.06,4.94
281,47.32,29.95,16.68,6.05
282,46.03,29.57,18.21,6.19
283,44.55,28.1,20.17,7.18
284,43.59,27.14,22.65,6.62
285,41.8,26.03,23.19,8.99
286,39.94,25.3,25.08,9.68
287,37.67,24.88,26.81,10.64
288,36.62,23.5,29.32,10.55
289,34.53,21.38,32.1,11.99
290,32.13,21.0,33.78,13.1
291,30.87,18.83,35.6,14.7
292,28.98,17.86,38.44,14.73
293,27.3,17.25,40.31,15.15
294,25.27,14.99,42.63,17.1
295,23.74,13.43,44.72,18.11
296,22.08,11.56,47.61,18.75
297,44.61,32.34,17.81,5.24
298,42.67,31.11,19.72,6.5
299,42.06,30.12,21.6,6.21
300,39.87,29.44,23.4,7.29
301,38.39,28.29,24.98,8.34
302,37.33,26.42,26.96,9.3
303,35.6,26.04,28.77,9.59
304,33.51,24.43,31.35,10.72
305,32.29,22.49,33.63,11.59
306,29.57,22.09,35.8,12.54
307,27.39,21.05,37.94,13.62
308,26.26,18.49,40.36,14.89
309,24.9,16.36,43.79,14.95
310,23.34,15.19,45.17,16.3
311,21.13,13.8,48.12,16.95
312,38.49,34.31,21.01,6.19
313,37.34,33.32,22.93,6.42
314,36.46,31.79,24.4,7.35
315,34.69,31.13,26.89,7.29
316,34.11,28.48,29.16,8.25
317,32.29,27.32,31.27,9.12
318,31.83,25.21,32.94,10.01
319,28.61,24.31,36.02,11.05
320,27.54,23.06,37.07,12.33
321,25.91,21.43,40.28,12.38
322,23.68,20.21,42.14,13.97
323,22.77,17.97,45.34,13.92
324,21.08,16.77,47.6,14.55
325,34.41,34.86,24.34,6.39
326,33.73,33.61,26.58,6.09
327,32.03,32.03,28.37,7.56
328,31.1,30.83,30.48,7.58
329,29.53,28.64,33.18,8.65
330,28.72,26.58,35.03,9.67
331,27.18,26.17,37.34,9.31
332,25.95,23.9,39.74,10.42
333,24.12,21.81,42.89,11.18
334,22.78,20.08,46.33,10.81
335,21.98,17.88,47.48,12.67
336,29.36,33.77,29.61,7.27
337,28.85,32.63,31.08,7.44
338,27.92,30.25,34.96,6.87
339,25.46,29.65,36.37,8.51
340,25.2,26.35,38.73,9.72
341,23.13,25.31,41.44,10.12
342,22.8,22.8,44.14,10.27
