Index,Cu,Pd,Pt,Ru
288,2.8,28.31,26.09,42.79
289,1.86,26.58,26.52,45.05
290,2.15,23.31,27.0,47.55
291,2.29,20.19,27.88,49.65
292,1.45,17.99,28.81,51.75
293,2.03,16.06,28.91,53.0
294,1.13,13.65,29.82,55.4
295,2.01,11.67,29.64,56.68
296,0.0,10.68,30.61,58.72
297,3.42,51.92,20.12,24.54
298,3.89,47.69,22.02,26.4
299,2.84,45.37,22.87,28.92
300,3.35,42.27,24.02,30.36
301,2.33,39.43,25.19,33.06
302,2.78,36.18,26.26,34.79
303,1.94,32.41,27.36,38.29
304,1.96,30.08,28.18,39.77
305,2.15,27.51,28.05,42.28
306,2.11,24.08,29.59,44.22
307,2.07,20.9,30.55,46.48
308,1.18,19.08,31.16,48.58
309,1.39,16.95,31.46,50.2
310,1.81,14.23,31.83,52.14
311,1.84,13.1,32.33,52.73
312,2.75,50.08,22.83,24.33
313,2.31,47.61,24.2,25.88
314,2.1,44.69,25.37,27.84
315,1.97,41.27,26.56,30.2
316,2.33,36.82,27.56,33.29
317,2.45,34.01,28.83,34.7
318,2.33,31.56,29.69,36.42
319,1.45,28.58,30.76,39.21
320,2.17,25.4,31.97,40.46
321,2.26,22.81,31.77,43.17
322,1.29,20.22,33.48,45.01
323,2.29,17.59,34.35,45.78
324,2.7,15.09,34.58,47.63
325,2.56,48.84,25.08,23.51
326,2.13,45.16,26.97,25.74
327,1.51,42.59,27.46,28.44
328,2.22,37.97,29.64,30.18
329,1.78,35.78,31.03,31.4
330,1.85,33.4,30.56,34.19
331,1.7,28.71,32.89,36.7
332,2.31,25.86,34.31,37.53
333,2.12,23.57,35.1,39.21
334,0.0,20.59,36.15,43.26
335,0.0,17.89,38.46,43.65
336,1.9,43.53,29.27,25.31
337,2.01,40.08,30.6,27.31
338,2.03,37.22,31.2,29.55
339,1.34,33.54,33.78,31.33
340,2.34,30.31,35.16,32.19
341,0.0,27.89,36.48,35.62
342,0.0,24.62,37.54,37.85
