Index,Cu,Pd,Pt,Ru
178,2.29,44.02,33.84,19.85
179,2.39,91.44,4.3,1.88
180,2.69,90.57,4.89,1.85
181,2.6,89.75,5.69,1.96
182,2.46,89.05,6.3,2.19
183,2.5,87.67,7.12,2.71
184,2.64,85.61,8.12,3.63
185,2.23,84.98,8.9,3.88
186,1.79,84.1,9.93,4.19
187,2.15,82.46,11.05,4.34
188,2.77,79.7,12.18,5.35
189,2.06,78.48,13.46,5.99
190,2.56,75.57,15.14,6.72
191,2.43,73.04,16.79,7.75
192,1.32,70.58,18.62,9.47
193,2.27,67.4,20.75,9.57
194,1.85,64.18,23.13,10.84
195,1.94,59.16,25.5,13.39
196,2.97,55.59,27.8,13.64
197,1.83,50.97,30.69,16.51
198,2.44,48.5,33.07,15.98
199,0.0,46.4,35.24,18.36
200,2.25,91.78,4.31,1.66
201,1.67,91.13,5.09,2.11
202,2.65,89.52,5.72,2.1
203,2.14,89.14,6.5,2.22
204,1.73,88.07,7.32,2.88
205,2.6,86.53,8.01,2.87
206,2.52,85.29,9.09,3.1
207,2.03,83.92,9.83,4.22
208,1.91,82.75,11.12,4.22
209,1.86,80.95,12.37,4.82
210,1.38,78.89,13.65,6.07
211,2.38,76.4,15.55,5.67
212,1.42,74.1,17.45,7.02
213,2.18,71.43,18.69,7.7
214,1.82,67.98,21.82,8.38
215,2.06,63.55,24.15,10.24
216,1.32,60.72,26.51,11.45
217,2.37,56.55,28.56,12.52
218,0.0,53.51,31.78,14.71
219,0.0,49.29,35.29,15.42
220,0.0,47.43,36.52,16.05
221,1.64,92.62,4.34,1.4
222,1.8,91.59,4.92,1.69
223,1.99,90.46,5.67,1.88
224,1.66,89.98,6.51,1.85
225,2.05,88.39,7.18,2.38
226,1.9,87.07,8.22,2.82
227,1.78,86.13,9.01,3.08
228,2.24,84.02,10.01,3.73
229,2.08,82.66,11.46,3.8
230,2.1,81.09,12.65,4.16
231,1.4,79.14,14.14,5.32
232,2.11,76.69,15.19,6.01
233,1.71,74.58,17.52,6.19
234,1.21,71.48,19.52,7.8
235,2.13,67.67,21.63,8.57
236,2.58,64.86,23.32,9.23
237,0.0,62.37,26.68,10.94
238,1.69,57.22,29.7,11.4
239,0.0,53.18,32.81,14.01
240,1.92,49.4,34.58,14.11
241,4.72,39.34,40.56,15.38
242,1.66,91.8,5.09,1.45
243,1.94,90.47,5.81,1.78
244,1.69,89.44,6.59,2.28
245,1.9,88.56,7.23,2.31
246,1.96,86.98,8.29,2.76
247,1.62,86.43,9.15,2.79
248,2.08,84.5,10.1,3.33
249,1.91,83.04,11.55,3.5
250,1.27,81.92,12.92,3.9
251,2.06,79.9,14.11,3.93
252,2.79,77.03,15.57,4.61
253,1.64,75.62,17.34,5.4
254,0.94,72.75,19.98,6.33
255,0.0,69.9,22.44,7.66
256,1.87,64.66,24.74,8.73
257,0.0,62.23,28.33,9.44
258,0.0,57.31,31.65,11.03
259,0.0,53.84,34.37,11.79
