Index,Cu,Pd,Pt,Ru
178,1.78,4.25,81.99,11.98
179,6.25,33.95,55.84,3.96
180,4.57,31.83,59.77,3.83
181,3.26,29.24,62.94,4.55
182,3.57,26.73,64.33,5.37
183,3.54,25.53,65.93,5.0
184,3.62,23.04,67.35,6.0
185,3.11,20.43,70.45,6.01
186,3.72,19.29,70.79,6.2
187,2.46,17.09,72.88,7.57
188,2.91,15.53,73.71,7.84
189,1.97,14.27,75.78,7.98
190,1.36,13.14,76.36,9.14
191,2.47,11.77,77.23,8.53
192,1.06,10.45,79.62,8.87
193,1.34,8.28,80.86,9.52
194,1.97,7.42,81.07,9.54
195,0.0,6.23,83.98,9.79
196,1.19,5.53,83.18,10.1
197,0.0,4.58,84.15,11.27
198,0.0,3.75,84.93,11.32
199,0.0,4.23,83.78,11.99
200,3.93,34.5,57.46,4.11
201,3.92,31.51,60.97,3.6
202,3.89,28.45,62.87,4.79
203,3.71,27.52,65.14,3.62
204,2.99,24.6,67.98,4.44
205,2.83,23.58,68.59,4.99
206,3.09,20.32,71.14,5.46
207,2.87,19.25,71.33,6.54
208,2.55,17.39,73.71,6.35
209,1.56,16.16,74.44,7.84
210,2.45,13.79,75.87,7.89
211,2.14,12.63,78.01,7.22
212,1.36,12.05,79.06,7.52
213,1.45,9.66,80.99,7.89
214,1.61,8.58,80.65,9.16
215,0.0,7.52,83.43,9.05
216,1.22,6.28,83.14,9.36
217,1.47,6.14,82.98,9.41
218,0.0,4.76,85.45,9.79
219,0.0,4.36,85.48,10.16
220,0.0,3.57,85.61,10.82
221,3.55,35.6,58.43,2.42
222,3.09,31.87,61.22,3.82
223,2.58,29.76,63.18,4.48
224,2.28,27.1,66.18,4.44
225,2.34,24.55,68.36,4.75
226,2.74,21.89,70.54,4.83
227,2.06,21.14,71.57,5.23
228,2.38,18.89,73.26,5.47
229,1.88,17.8,74.97,5.35
230,2.06,15.71,76.03,6.2
231,1.6,13.38,78.33,6.69
232,1.86,12.82,77.75,7.57
233,1.25,10.65,80.23,7.88
234,1.29,10.33,81.22,7.15
235,1.34,8.84,82.13,7.68
236,0.0,6.76,84.72,8.51
237,0.0,6.81,84.54,8.65
238,1.1,5.36,85.03,8.51
239,0.0,4.56,86.8,8.64
240,1.09,4.35,85.47,9.09
241,1.74,3.18,86.99,8.1
242,2.27,33.08,61.88,2.77
243,2.78,29.59,64.07,3.57
244,2.41,26.71,67.02,3.87
245,2.81,24.57,68.22,4.4
246,2.04,23.68,70.57,3.71
247,2.17,20.82,71.77,5.24
248,2.03,19.03,74.48,4.46
249,2.62,16.92,75.41,5.06
250,1.99,15.35,76.92,5.75
251,1.22,14.03,78.78,5.97
252,1.24,13.28,79.39,6.09
253,0.0,10.65,82.95,6.4
254,1.07,8.96,83.2,6.77
255,0.0,8.53,83.83,7.64
256,0.0,6.9,85.83,7.27
257,0.0,6.18,86.21,7.61
258,1.29,5.3,85.5,7.92
259,1.54,4.81,85.81,7.85
260,0.0,4.01,87.03,8.96
261,2.8,31.91,62.14,3.14
262,1.88,29.6,64.88,3.64
263,2.05,27.26,67.36,3.33
264,1.34,24.38,71.13,3.15
265,1.6,22.36,71.82,4.21
266,2.09,21.14,72.41,4.36
267,2.32,18.73,75.1,3.85
268,1.47,17.39,76.41,4.72
269,1.63,15.59,77.09,5.7
270,1.36,14.2,79.2,5.23
271,1.44,12.58,80.74,5.25
272,1.25,10.9,81.77,6.08
273,0.0,9.58,84.45,5.96
274,0.0,8.14,85.08,6.78
275,1.12,6.76,85.71,6.41
276,0.0,6.9,87.04,6.06
277,0.0,5.72,86.89,7.4
278,0.0,4.55,88.75,6.7
279,0.0,3.68,89.69,6.64
280,2.11,28.94,65.71,3.24
281,1.4,27.05,69.01,2.54
282,1.16,23.95,72.3,2.59
283,1.96,22.8,72.17,3.08
284,1.51,20.23,74.12,4.13
285,0.0,18.95,77.08,3.97
286,2.18,16.52,77.36,3.94
287,1.09,14.61,79.63,4.67
288,0.0,13.48,81.55,4.97
289,0.0,12.31,82.42,5.28
290,0.0,10.84,83.83,5.33
291,0.0,9.21,85.35,5.45
292,0.0,7.85,86.71,5.44
293,0.0,6.74,87.44,5.82
294,0.0,5.81,87.99,6.2
295,0.0,5.09,89.34,5.57
296,0.0,4.41,89.81,5.79
297,1.77,27.01,68.78,2.44
298,1.87,24.53,70.77,2.83
299,1.32,22.48,73.5,2.7
300,1.81,20.7,74.21,3.27
301,0.0,19.18,77.48,3.34
302,1.64,17.05,77.67,3.64
303,1.9,15.25,78.79,4.06
304,1.23,13.3,81.44,4.03
305,1.08,11.54,83.32,4.07
306,1.05,10.66,83.23,5.05
307,0.0,9.62,84.99,5.38
308,0.0,7.86,86.85,5.28
309,0.0,7.31,86.99,5.7
310,1.14,6.42,87.39,5.04
311,0.0,5.15,89.77,5.07
312,0.0,24.4,72.97,2.63
313,1.44,22.5,73.43,2.63
314,1.71,19.94,75.85,2.5
315,1.57,17.97,77.44,3.02
316,0.0,17.4,79.39,3.21
317,0.0,15.07,81.42,3.51
318,0.0,12.99,83.23,3.78
319,1.13,11.39,83.62,3.87
320,1.39,9.88,84.37,4.36
321,0.0,8.95,87.68,3.37
322,0.0,7.36,88.1,4.54
323,0.0,6.69,88.85,4.46
324,0.0,4.92,90.08,5.0
325,0.0,22.45,74.67,2.87
326,0.0,20.53,76.18,3.29
327,1.2,17.96,78.34,2.5
328,0.0,17.25,80.52,2.23
329,0.0,16.02,81.0,2.98
330,0.0,13.32,83.56,3.12
331,0.0,11.45,84.66,3.89
332,0.0,9.97,86.54,3.48
333,0.0,8.71,87.93,3.36
334,0.0,6.64,89.67,3.68
335,0.0,6.14,89.53,4.33
336,0.0,17.79,80.17,2.05
337,0.0,16.17,81.57,2.26
338,1.38,14.63,80.72,3.27
339,0.0,12.6,84.43,2.97
340,0.0,11.26,85.89,2.85
341,0.0,9.83,87.03,3.14
342,1.07,8.13,87.65,3.16
