Index,Ni,Pd,Pt,Ru
310,7.75,52.5,33.0,6.75
311,6.78,49.26,36.87,7.08
312,6.16,83.78,8.54,1.51
313,5.68,82.83,10.21,1.28
314,6.39,80.25,11.19,2.17
315,6.29,78.9,12.79,2.02
316,5.69,77.48,14.6,2.23
317,7.0,75.43,15.46,2.11
318,6.0,73.43,17.57,3.0
319,5.93,71.43,19.6,3.04
320,6.38,68.12,21.98,3.52
321,7.12,64.04,24.72,4.12
322,6.05,61.34,27.43,5.18
323,6.71,57.64,31.02,4.63
324,7.16,52.43,35.29,5.12
325,5.57,82.82,9.95,1.66
326,6.6,80.33,11.31,1.77
327,5.51,79.45,12.78,2.26
328,5.66,77.49,14.02,2.83
329,6.01,76.11,15.93,1.96
330,6.55,73.51,17.71,2.23
331,6.09,71.08,19.79,3.04
332,6.27,68.82,22.13,2.79
333,7.1,63.93,24.41,4.55
334,6.72,61.34,28.36,3.57
335,6.94,57.42,31.34,4.31
336,5.05,80.05,12.82,2.07
337,4.71,79.14,14.27,1.88
338,5.34,75.92,16.01,2.74
339,5.14,74.45,17.91,2.5
340,4.67,72.33,20.5,2.5
341,6.2,68.84,22.45,2.51
342,5.02,65.66,25.5,3.82
