Index,Ir,Pd,Pt,Ru
209,67.02,5.19,18.33,9.47
210,65.55,4.71,20.23,9.51
211,63.13,4.61,22.09,10.17
212,59.96,5.07,23.58,11.4
213,57.25,3.97,25.67,13.12
214,53.37,3.85,28.83,13.95
215,50.09,3.97,30.47,15.47
216,47.69,3.51,32.69,16.11
217,44.07,2.83,35.37,17.73
218,40.11,3.5,38.23,18.16
219,38.15,2.71,39.91,19.23
220,33.74,1.8,44.12,20.34
221,80.17,6.58,9.1,4.15
222,79.2,6.47,9.92,4.41
223,78.0,5.95,11.24,4.8
224,76.2,5.49,12.55,5.76
225,75.32,5.96,13.19,5.54
226,72.48,5.97,15.14,6.42
227,71.22,5.36,16.38,7.04
228,68.74,6.05,17.74,7.46
229,67.65,4.69,19.21,8.44
230,65.41,4.91,20.53,9.16
231,62.12,5.85,22.28,9.75
232,59.2,5.4,24.75,10.66
233,57.05,5.2,26.18,11.57
234,53.61,4.89,28.45,13.05
235,51.76,4.54,30.53,13.17
236,48.64,4.27,33.03,14.06
237,45.82,3.03,35.22,15.93
238,42.6,3.21,38.27,15.92
239,39.32,3.86,40.85,15.97
240,35.13,2.9,44.39,17.58
241,33.76,2.16,45.7,18.38
242,77.72,7.5,10.86,3.92
243,76.67,6.32,12.53,4.48
244,74.2,6.63,14.27,4.91
245,72.33,6.36,15.32,5.99
246,70.61,6.27,16.8,6.31
247,68.93,6.3,18.42,6.35
248,66.64,6.63,19.67,7.06
249,64.52,6.19,21.34,7.96
250,61.54,6.43,23.05,8.98
251,59.66,5.97,25.07,9.3
252,57.07,5.48,26.66,10.79
253,53.39,5.62,29.78,11.21
254,51.43,4.88,31.65,12.03
255,48.77,4.84,33.63,12.76
256,45.3,5.35,35.75,13.59
257,42.84,3.61,38.78,14.77
258,38.91,3.93,42.18,14.99
259,36.88,3.5,43.68,15.94
260,33.51,2.45,47.55,16.49
261,75.31,7.44,13.09,4.15
262,73.32,7.87,14.15,4.66
263,70.87,7.3,15.93,5.9
264,69.91,7.29,17.29,5.51
265,68.03,7.28,18.43,6.25
266,65.22,7.05,20.85,6.89
267,64.5,6.43,21.96,7.11
268,61.12,6.81,23.2,8.87
269,59.63,6.48,25.51,8.39
270,57.53,5.95,27.17,9.35
271,53.5,6.54,29.56,10.41
272,52.47,5.39,32.08,10.06
273,47.82,6.13,33.91,12.14
274,45.48,5.22,36.81,12.48
275,42.56,5.55,38.69,13.2
276,39.58,4.68,42.22,13.52
277,38.11,3.68,44.76,13.45
278,35.05,2.42,48.16,14.36
279,32.58,3.33,48.53,15.56
280,69.48,9.33,16.13,5.06
281,68.35,8.43,17.61,5.61
282,66.81,8.27,19.47,5.45
283,64.67,8.08,21.21,6.04
284,62.18,8.2,23.41,6.21
285,59.93,8.4,24.31,7.36
286,58.5,7.6,26.48,7.42
287,57.16,7.26,27.96,7.62
288,54.11,6.3,30.28,9.31
289,50.76,7.24,32.14,9.85
290,48.07,6.24,34.75,10.94
291,46.21,5.99,36.63,11.17
292,43.78,5.46,39.6,11.16
293,39.31,5.37,42.74,12.57
294,38.05,4.32,45.34,12.28
295,34.76,4.53,47.09,13.62
296,31.81,4.15,50.3,13.74
297,64.72,10.25,19.86,5.18
298,63.04,9.35,22.08,5.53
299,60.02,9.87,23.67,6.44
300,57.99,9.82,25.39,6.81
301,56.76,8.8,27.42,7.02
302,55.03,8.46,29.48,7.03
303,52.75,8.1,31.12,8.03
304,50.7,7.89,32.65,8.76
305,47.3,7.67,35.07,9.97
306,45.26,6.97,37.38,10.39
307,43.56,6.46,40.01,9.97
308,40.64,5.49,43.03,10.84
309,38.24,5.13,45.09,11.54
310,36.12,4.23,47.76,11.89
311,33.21,4.24,50.58,11.96
312,60.38,10.57,24.56,4.49
313,57.4,10.8,26.32,5.48
314,56.28,9.8,27.54,6.38
315,54.41,9.71,30.11,5.77
316,51.87,8.88,32.59,6.66
317,49.39,8.84,34.01,7.76
318,47.29,8.18,36.02,8.51
319,45.11,7.61,38.75,8.53
320,43.16,7.39,40.97,8.49
321,40.61,6.82,43.51,9.06
322,37.14,6.8,46.64,9.42
323,35.36,5.98,48.7,9.96
324,33.13,5.16,51.29,10.42
325,55.17,11.37,28.1,5.35
326,53.04,10.55,30.92,5.49
327,49.27,10.33,33.48,6.92
328,47.89,9.68,35.47,6.97
329,46.19,9.5,37.06,7.24
330,42.97,9.26,40.72,7.06
331,41.56,8.88,42.4,7.16
332,40.19,7.66,44.57,7.58
333,36.58,7.96,46.13,9.33
334,34.62,6.58,48.95,9.85
335,31.99,6.14,52.05,9.83
336,47.32,11.21,35.05,6.43
337,44.92,11.18,37.88,6.02
338,43.39,10.54,40.32,5.75
339,41.1,9.4,42.57,6.93
340,38.96,9.17,45.02,6.85
341,36.87,8.75,47.1,7.28
342,33.8,7.74,50.17,8.3
