Index,N,Pd,Pt,Ru
273,6.5,31.36,42.24,26.4
274,7.05,27.19,44.17,28.64
275,8.23,23.78,45.77,30.45
276,7.43,20.49,47.68,31.83
277,8.77,18.65,48.59,32.76
278,8.49,16.32,49.78,33.89
279,5.64,14.55,50.44,35.0
280,5.74,66.34,23.41,10.25
281,8.66,62.76,25.51,11.73
282,0.0,59.86,27.95,12.19
283,8.46,58.33,28.92,12.75
284,0.0,54.15,31.11,14.74
285,6.9,51.5,32.5,16.0
286,7.33,47.36,34.19,18.45
287,0.0,45.06,36.05,18.9
288,7.92,41.83,37.79,20.38
289,6.07,38.6,40.26,21.14
290,6.03,34.93,41.66,23.41
291,8.64,30.97,43.83,25.2
292,7.97,27.6,45.87,26.52
293,6.82,25.04,47.71,27.24
294,6.62,22.37,49.55,28.08
295,6.96,19.44,50.73,29.84
296,5.69,16.82,51.61,31.57
297,0.0,63.74,25.58,10.68
298,7.99,61.38,27.43,11.19
299,0.0,58.56,29.51,11.94
300,8.58,55.2,31.47,13.33
301,8.51,52.24,32.73,15.03
302,10.04,48.61,35.84,15.55
303,0.0,45.41,37.03,17.56
304,7.69,42.65,38.93,18.41
305,7.99,39.65,41.06,19.29
306,0.0,36.28,43.49,20.23
307,8.63,32.52,46.17,21.3
308,8.34,28.9,47.22,23.88
309,7.45,24.97,49.93,25.1
310,7.49,21.94,52.15,25.91
311,0.0,19.62,53.49,26.88
312,0.0,62.6,28.27,9.13
313,0.0,59.22,30.0,10.79
314,6.45,56.2,31.76,12.04
315,7.62,53.02,34.18,12.8
316,0.0,50.2,35.93,13.87
317,5.89,46.62,38.5,14.88
318,0.0,43.53,40.27,16.19
319,9.69,40.57,41.92,17.51
320,10.21,36.37,44.9,18.72
321,0.0,32.97,47.7,19.33
322,6.2,28.94,49.66,21.4
323,6.15,25.82,51.6,22.57
324,0.0,22.91,53.27,23.82
325,0.0,59.25,30.38,10.38
326,5.99,56.55,32.26,11.19
327,9.81,52.5,34.83,12.67
328,0.0,50.83,36.6,12.57
329,0.0,47.12,39.14,13.74
330,6.99,43.95,41.75,14.3
331,0.0,40.31,43.95,15.74
332,7.49,36.0,47.05,16.95
333,0.0,33.22,49.25,17.53
334,5.95,28.98,52.35,18.68
335,6.51,26.34,53.75,19.91
336,5.85,53.63,35.77,10.6
337,6.97,50.54,38.43,11.03
338,0.0,47.76,40.35,11.89
339,8.43,42.95,43.42,13.63
340,7.57,40.17,45.91,13.92
341,8.17,35.37,49.51,15.12
342,0.0,33.15,50.51,16.33
