Index,Ni,Pd,Pt,Ru
177,5.86,1.63,84.28,8.22
178,5.83,1.53,84.2,8.44
179,20.99,12.02,62.85,4.14
180,18.77,11.43,65.46,4.33
181,18.57,10.44,66.7,4.29
182,16.41,8.99,70.32,4.28
183,15.63,7.96,71.39,5.01
184,13.85,7.24,73.67,5.25
185,12.48,7.42,74.43,5.67
186,12.29,6.02,76.69,5.0
187,11.78,5.59,76.69,5.93
188,10.71,5.0,78.41,5.87
189,9.16,5.0,79.41,6.43
190,8.41,4.5,80.63,6.46
191,7.56,4.09,81.65,6.71
192,7.93,2.96,82.0,7.11
193,6.39,3.23,83.84,6.54
194,6.52,2.71,84.16,6.6
195,5.93,2.93,83.99,7.16
196,6.25,1.96,84.45,7.34
197,5.85,1.58,84.99,7.58
198,5.46,1.85,85.17,7.53
199,6.14,1.13,85.39,7.34
200,18.42,12.95,63.95,4.67
201,17.07,11.25,67.51,4.17
202,16.04,9.89,69.67,4.4
203,14.9,9.5,71.3,4.3
204,14.61,8.12,72.68,4.58
205,13.47,7.33,74.52,4.67
206,11.76,6.94,75.97,5.33
207,10.84,6.4,77.73,5.03
208,10.39,5.53,78.46,5.62
209,9.2,5.08,80.23,5.49
210,8.35,4.95,80.76,5.95
211,7.85,4.4,82.18,5.57
212,7.49,3.55,83.04,5.91
213,7.12,3.34,83.77,5.78
214,6.33,3.05,84.88,5.73
215,6.74,3.0,84.25,6.01
216,6.52,2.56,85.07,5.86
217,5.1,2.07,86.12,6.72
218,5.35,2.45,85.47,6.73
219,4.71,1.57,86.91,6.81
220,5.6,1.06,86.53,6.81
221,16.06,13.09,66.13,4.72
222,15.69,10.71,69.46,4.14
223,13.97,10.34,71.51,4.18
224,13.76,8.89,73.44,3.92
225,12.69,8.46,74.62,4.23
226,11.52,7.65,76.34,4.49
227,11.55,6.27,76.97,5.21
228,10.08,6.37,78.87,4.68
229,8.97,5.98,80.15,4.9
230,9.15,5.58,80.13,5.13
231,8.81,4.94,81.84,4.41
232,7.35,4.17,82.94,5.53
233,7.2,4.33,83.55,4.92
234,7.25,3.48,83.99,5.29
235,6.04,2.99,85.57,5.4
236,5.63,3.33,85.94,5.11
237,5.71,2.7,85.65,5.94
