Index,Cu,Pd,Pt,Ru
178,37.39,8.06,23.68,30.87
179,70.23,21.75,4.48,3.54
180,69.57,21.3,5.06,4.07
181,68.66,20.97,5.56,4.81
182,68.51,20.11,6.2,5.17
183,67.12,19.91,7.0,5.97
184,66.07,19.31,7.55,7.06
185,64.93,18.93,8.38,7.76
186,64.38,17.74,9.19,8.68
187,62.54,17.51,10.15,9.79
188,60.92,17.13,11.07,10.88
189,58.98,16.59,12.0,12.42
190,57.43,15.8,13.18,13.59
191,55.83,15.67,14.2,14.3
192,52.5,14.26,15.93,17.31
193,50.17,14.2,16.62,19.01
194,47.61,12.42,18.88,21.09
195,45.44,12.1,20.23,22.22
196,42.16,11.09,21.46,25.29
197,39.33,10.8,22.84,27.03
198,37.19,9.14,24.52,29.15
199,35.28,8.77,25.56,30.39
200,67.13,24.77,4.85,3.25
201,66.16,24.19,5.72,3.93
202,65.67,23.42,6.31,4.6
203,65.04,22.2,7.18,5.58
204,64.4,21.96,7.58,6.06
205,63.38,21.35,8.35,6.91
206,62.21,20.57,9.37,7.86
207,61.29,19.92,10.29,8.5
208,59.25,19.59,11.51,9.65
209,58.2,18.93,12.1,10.77
210,55.78,18.65,13.29,12.28
211,54.35,17.52,14.88,13.25
212,51.74,17.02,16.21,15.04
213,49.18,16.28,17.65,16.89
214,46.84,15.26,18.85,19.05
215,44.07,14.45,20.64,20.85
216,42.05,13.03,22.15,22.77
217,38.85,12.05,24.14,24.96
218,36.95,12.06,24.95,26.04
219,35.42,10.09,26.61,27.89
220,32.54,9.75,28.19,29.51
221,63.35,27.35,5.63,3.67
222,63.03,26.77,6.36,3.84
223,62.37,25.81,6.81,5.0
224,61.22,25.4,8.11,5.27
225,61.7,23.97,8.57,5.75
226,60.52,23.38,9.57,6.53
227,57.96,23.29,10.56,8.19
228,57.11,22.71,11.53,8.65
229,55.94,22.03,12.32,9.71
230,54.64,21.02,13.8,10.54
231,52.0,20.81,15.06,12.13
232,50.42,19.81,16.64,13.14
