Index,Ir,Pd,Pt,Ru
177,5.11,1.91,20.33,72.65
178,4.29,2.05,20.13,73.53
179,29.81,11.73,18.61,39.86
180,28.63,10.32,19.19,41.86
181,26.02,10.14,19.76,44.07
182,24.01,9.15,20.09,46.76
183,22.41,8.58,20.31,48.69
184,20.61,7.56,20.39,51.44
185,18.82,7.19,20.61,53.38
186,17.16,6.95,20.59,55.3
187,15.52,6.36,20.98,57.14
188,14.35,6.32,20.55,58.77
189,13.35,4.92,20.7,61.03
190,12.06,4.65,20.91,62.38
191,10.33,5.01,20.97,63.69
192,9.46,4.69,21.15,64.71
193,8.84,3.8,21.2,66.16
194,7.6,2.74,21.68,67.98
195,6.5,3.49,21.28,68.74
196,6.46,2.91,21.42,69.2
197,4.69,2.56,22.15,70.6
198,4.67,2.02,21.91,71.41
199,4.03,1.62,22.12,72.23
200,29.26,13.22,19.11,38.41
201,26.43,11.53,21.11,40.93
202,25.3,10.89,21.15,42.65
203,23.13,9.89,21.9,45.08
204,21.55,8.91,22.47,47.07
205,19.39,8.65,22.28,49.68
206,19.01,7.15,22.47,51.37
207,17.6,6.99,22.3,53.12
208,15.75,6.53,22.17,55.54
209,14.22,5.87,22.54,57.37
210,12.64,5.15,22.64,59.58
211,12.11,5.21,22.47,60.21
212,10.67,4.63,22.79,61.9
213,9.54,4.66,22.91,62.89
214,7.75,4.69,23.35,64.2
215,7.15,3.59,23.49,65.77
216,7.19,3.4,22.92,66.49
217,6.04,3.44,23.23,67.29
218,5.06,2.09,23.68,69.18
219,4.63,2.2,23.73,69.44
220,4.05,1.77,24.38,69.8
221,26.61,13.92,22.11,37.36
222,25.02,12.87,22.38,39.72
223,23.83,11.72,23.24,41.21
224,22.16,10.4,24.43,43.01
225,20.31,9.52,24.29,45.87
226,18.12,9.37,24.82,47.7
227,16.55,9.32,24.65,49.48
228,16.1,7.47,24.43,52.0
229,13.92,7.59,24.52,53.97
230,12.93,6.63,25.12,55.32
231,12.6,5.06,24.79,57.55
232,10.75,6.03,24.78,58.44
233,9.95,5.05,25.01,59.99
234,8.35,5.18,25.35,61.12
235,7.53,4.48,25.09,62.9
236,6.6,4.03,25.78,63.59
237,6.47,3.94,25.19,64.4
238,6.01,2.96,25.71,65.32
239,4.63,2.76,26.33,66.28
240,4.1,2.26,26.08,67.56
241,3.74,2.01,26.63,67.62
242,23.01,14.22,24.57,38.21
243,22.9,11.76,25.65,39.69
244,19.99,12.02,25.62,42.38
245,19.32,10.28,26.42,43.98
246,17.27,9.41,26.62,46.7
247,17.8,8.53,26.38,47.29
248,15.97,7.92,26.57,49.53
249,13.43,8.2,27.07,51.3
250,11.74,7.32,27.68,53.27
251,11.03,6.34,27.2,55.44
252,10.09,5.93,27.29,56.7
253,8.47,5.66,27.61,58.26
254,8.11,5.54,27.33,59.02
255,7.11,4.78,27.46,60.65
256,6.63,3.62,28.17,61.58
257,6.08,3.6,27.93,62.39
258,5.32,3.09,28.29,63.3
259,4.41,3.5,28.92,63.17
260,4.02,2.83,28.85,64.3
261,22.13,14.51,25.78,37.58
262,21.31,13.79,26.53,38.37
263,18.84,11.55,27.74,41.87
264,18.53,11.12,28.5,41.85
265,16.53,10.74,28.37,44.35
266,15.61,9.09,29.82,45.48
267,14.05,9.74,28.47,47.75
268,12.51,8.37,29.45,49.67
269,10.94,6.62,29.61,52.83
270,10.92,6.8,29.74,52.54
271,9.5,6.67,29.93,53.9
272,8.26,5.82,29.73,56.19
273,8.04,5.09,30.08,56.78
274,6.57,4.56,30.31,58.56
275,6.77,4.43,30.35,58.44
276,5.2,3.66,30.86,60.28
277,4.54,3.4,31.01,61.06
278,4.48,2.89,31.31,61.32
279,3.09,2.48,32.68,61.75
280,16.2,15.34,29.82,38.64
281,16.52,14.39,30.17,38.92
282,16.74,12.09,31.33,39.84
283,15.22,11.14,31.49,42.15
284,12.93,10.78,32.35,43.94
285,12.57,10.07,32.02,45.34
286,11.97,8.87,31.52,47.64
287,10.81,8.25,32.47,48.47
288,9.66,8.11,32.23,50.0
289,9.15,6.54,32.77,51.55
290,7.77,6.05,33.5,52.68
291,7.61,4.76,33.2,54.43
292,6.71,4.61,33.64,55.04
293,5.18,4.12,33.46,57.24
294,5.34,3.27,34.13,57.25
295,6.12,2.9,33.88,57.1
296,4.07,2.9,35.11,57.92
297,15.99,13.41,31.53,39.08
298,14.43,12.85,32.89,39.83
299,14.35,12.57,32.97,40.11
300,12.89,10.29,34.16,42.67
301,11.85,10.81,34.2,43.14
302,10.84,9.59,34.34,45.23
303,9.47,9.11,34.86,46.56
304,8.44,8.09,36.2,47.26
305,8.27,7.63,35.42,48.68
306,8.24,6.65,35.76,49.36
307,7.53,5.8,35.07,51.61
308,6.13,4.77,36.88,52.22
309,5.83,5.03,36.38,52.76
310,4.76,4.95,36.72,53.57
311,3.8,3.72,37.59,54.89
312,14.41,13.94,34.48,37.17
313,12.23,13.17,35.43,39.17
314,11.52,12.22,36.38,39.89
315,10.98,10.63,37.26,41.13
316,10.4,10.08,37.37,42.14
317,9.33,9.28,37.39,44.0
318,8.71,9.06,38.15,44.08
319,7.57,7.72,38.12,46.58
320,7.32,7.36,38.37,46.94
321,7.19,5.71,39.03,48.08
322,5.73,4.81,39.43,50.02
323,5.46,5.16,40.36,49.01
324,4.83,3.89,40.79,50.49
325,11.73,14.44,38.15,35.68
326,10.98,12.83,38.65,37.54
327,10.83,12.27,38.67,38.24
328,8.92,10.27,40.82,39.99
329,8.88,9.37,40.23,41.52
330,7.61,8.98,40.74,42.67
331,8.57,7.63,40.71,43.09
332,6.68,8.32,41.12,43.88
333,6.26,6.16,41.51,46.07
334,5.54,6.06,43.34,45.06
335,5.23,5.04,43.67,46.06
336,8.55,12.6,42.64,36.21
337,9.23,10.57,42.29,37.91
338,7.6,10.41,43.16,38.83
339,6.46,9.94,43.66,39.94
340,7.52,8.03,43.85,40.6
341,6.58,6.64,44.99,41.79
342,5.54,6.45,46.48,41.52
