Index,Ni,Pd,Pt,Ru
177,9.2,15.91,29.46,45.42
178,8.57,13.48,30.82,47.12
179,29.8,51.93,9.06,9.21
180,29.35,49.7,10.59,10.36
181,28.59,47.93,11.48,12.0
182,28.4,46.0,12.43,13.17
183,26.77,45.12,13.61,14.5
184,25.95,43.16,14.74,16.15
185,24.06,41.66,16.0,18.29
186,22.02,39.56,17.29,21.13
187,21.66,38.95,18.15,21.23
188,20.95,35.46,19.82,23.78
189,19.35,34.61,20.52,25.52
190,17.65,32.72,21.47,28.16
191,16.16,31.66,23.02,29.16
192,15.59,28.42,24.08,31.91
193,13.51,26.39,25.66,34.44
194,12.59,24.95,26.94,35.52
195,11.22,22.44,28.27,38.07
196,9.8,20.51,29.46,40.24
197,9.57,18.48,30.29,41.66
198,8.63,16.91,32.08,42.39
199,7.31,15.42,33.02,44.25
200,27.83,53.71,9.65,8.81
201,27.33,52.35,10.81,9.51
202,25.82,50.74,11.94,11.5
203,25.35,49.03,12.87,12.75
204,24.65,47.56,13.74,14.05
205,23.52,45.82,15.26,15.4
206,22.32,43.69,17.02,16.97
207,21.47,41.9,17.47,19.17
208,19.49,40.95,18.98,20.58
209,18.51,38.69,20.22,22.58
210,17.61,36.69,21.1,24.6
211,16.42,35.01,22.69,25.89
212,15.21,33.46,23.93,27.39
213,13.51,30.77,25.1,30.62
214,12.68,28.6,26.83,31.88
215,11.71,26.73,27.96,33.6
216,10.45,24.23,29.78,35.54
217,9.94,22.11,30.99,36.96
218,8.34,20.24,32.37,39.05
219,7.81,17.97,33.44,40.79
220,6.83,15.75,34.56,42.86
221,24.75,56.96,9.77,8.52
222,24.12,55.37,10.99,9.52
223,24.0,53.07,12.24,10.69
224,22.47,52.34,13.24,11.96
225,21.91,50.35,14.81,12.93
226,20.64,48.58,16.44,14.34
227,21.0,45.97,17.19,15.85
228,18.52,45.39,18.43,17.66
229,18.57,42.68,19.6,19.15
230,16.92,40.55,20.96,21.57
231,15.06,39.02,22.65,23.27
232,14.76,36.7,24.12,24.42
233,13.57,35.07,25.6,25.76
234,13.3,32.28,26.58,27.84
235,11.26,29.91,28.44,30.39
236,10.87,27.69,29.75,31.69
237,9.58,25.01,31.5,33.92
238,8.78,22.66,33.23,35.33
239,8.49,20.52,34.31,36.68
240,7.57,17.97,35.79,38.67
241,7.13,17.19,37.14,38.54
242,21.57,57.23,11.51,9.69
243,20.86,56.01,12.92,10.2
244,20.9,54.5,14.0,10.6
245,20.33,51.94,15.45,12.27
246,19.43,50.68,16.61,13.28
247,18.75,48.59,17.72,14.93
